number,loss,texel_scale,error_count
395,0.8555875497368756,1130.8959276776513,0
396,0.8686373987827406,1067.2432820756462,0
397,0.8489478024445364,1167.409435001633,0
398,0.8449282354068602,1184.8027544285123,0
399,0.853978184457875,1127.069671949252,0
400,0.8548878647966227,1139.0492634830102,0
401,0.8630979383325805,1076.711272888168,0
402,0.8546756398196631,1121.1633134512253,0
403,0.8635421756023481,1074.1512801218985,0
404,0.8468326248589798,1151.109419766633,0
405,0.8571193677234057,1103.9763559447579,0
406,0.8450847901332451,1176.6678117529916,0
407,0.8518387734676668,1141.1371356564066,0
408,0.873968142495381,1023.4843075702051,0
