target_cp,original_eval,fitted_eval
111.000000,658.000000,-1397.448441
130.000000,662.000000,-746.941553
147.000000,288.000000,-135.993998
35.000000,-187.000000,121.812588
-10.000000,430.000000,77.790968
-434.000000,23.000000,482.576517
20.000000,-87.000000,452.795910
-31.000000,-430.000000,867.403312
21.000000,-386.000000,-211.168235
136.000000,-87.000000,521.180831
206.000000,-189.000000,354.144821
-423.000000,-307.000000,-2939.649179
-455.000000,294.000000,-3654.155819
137.000000,-30.000000,206.236277
-63.000000,-400.000000,308.708934
253.000000,230.000000,729.821106
60.000000,-292.000000,27.822286
390.000000,103.000000,1969.655978
-24.000000,-574.000000,-359.335706
-2.000000,17.000000,-1298.576872
10.000000,-594.000000,335.360377
66.000000,31.000000,-373.262737
22.000000,52.000000,396.311060
-28.000000,123.000000,-604.510512
-158.000000,-213.000000,-864.020606
-620.000000,11.000000,-1237.611115
-808.000000,-706.000000,-14447.254207
-130.000000,7.000000,918.027078
12.000000,-82.000000,-525.780162
63.000000,332.000000,90.647913
101.000000,-62.000000,142.231996
31.000000,-28.000000,-418.027886
-120.000000,-211.000000,301.901668
44.000000,-205.000000,389.290041
26.000000,-234.000000,49.385779
-49.000000,-176.000000,-989.969086
-432.000000,-432.000000,-1669.782650
-56.000000,-168.000000,111.466846
67.000000,314.000000,89.729455
11.000000,-324.000000,743.175247
57.000000,-435.000000,465.227937
207.000000,305.000000,633.443027
29.000000,185.000000,954.404883
34.000000,-27.000000,573.733496
69.000000,-153.000000,-711.170906
-16.000000,-406.000000,-449.262016
-18.000000,-337.000000,149.037411
-1.000000,461.000000,-161.377733
-220.000000,203.000000,807.141331
44.000000,-127.000000,-118.735167
12.000000,-33.000000,-260.332442
-553.000000,-633.000000,-4259.936257
-570.000000,-761.000000,-4909.988958
81.000000,-198.000000,432.609783
0.000000,367.000000,-87.131214
0.000000,111.000000,468.769570
-40.000000,233.000000,-100.122197
28.000000,-305.000000,-376.785384
-367.000000,-737.000000,-2319.972615
-468.000000,-760.000000,-2513.396849
92.000000,-204.000000,203.725809
123.000000,-311.000000,-119.677982
51.000000,8.000000,104.227924
84.000000,85.000000,165.638181
45.000000,-83.000000,-91.691534
49.000000,8.000000,104.227924
154.000000,89.000000,124.495552
289.000000,73.000000,-1077.201320
44.000000,422.000000,1167.322267
253.000000,197.000000,735.602545
60.000000,-698.000000,-555.840517
-46.000000,60.000000,-28.801601
4.000000,385.000000,-297.640231
18.000000,-135.000000,-82.819337
31.000000,-286.000000,578.165236
-40.000000,-35.000000,578.688423
44.000000,-138.000000,317.640922
49.000000,-115.000000,-67.060987
2.000000,-281.000000,14.312356
-586.000000,-341.000000,-1351.211906
110.000000,-48.000000,348.953537
456.000000,-558.000000,-297.183717
0.000000,-221.000000,392.237542
0.000000,-439.000000,-359.511928
1.000000,-590.000000,39.476816
-1.000000,39.000000,-28.310945
-736.000000,-614.000000,-9667.288805
-4.000000,-312.000000,-423.914094
80.000000,-212.000000,304.984160
-52.000000,-478.000000,-364.002724
-53.000000,-574.000000,-684.439078
16.000000,303.000000,197.094165
538.000000,390.000000,5000.071907
0.000000,-186.000000,-743.618470
-740.000000,-702.000000,-5975.432345
-196.000000,-307.000000,-486.930620
16.000000,-212.000000,-145.185918
16.000000,-216.000000,-71.410929
9.000000,-328.000000,-831.046238
-74.000000,-351.000000,-814.530152
-120.000000,-171.000000,-312.697206
159.000000,37.000000,-262.097836
200.000000,-505.000000,1244.037693
-30.000000,69.000000,-446.307013
-84.000000,-463.000000,-1858.461506
-41.000000,186.000000,-18.194516
22.000000,-135.000000,-82.819337
408.000000,-155.000000,1402.797845
